"","Curves","eqTemp","eqTime","Species","Trial","OTM"
"1","SO_T1_Lizard",17.748826721767,113,"SO","T1","Lizard"
"2","SO_T1_ABS",19.1624836884039,72,"SO","T1","ABS"
"3","SO_T1_PLA",19.0566848304577,61,"SO","T1","PLA"
"4","SO_T1_CopperPLA",19.5637567340315,1,"SO","T1","CopperPLA"
"5","SO_T1_CopperPipe",18.8533127856802,55,"SO","T1","CopperPipe"
"6","SO_T4_Lizard",33.0136243630079,156,"SO","T4","Lizard"
"7","SO_T4_ABS",32.3859635130558,144,"SO","T4","ABS"
"8","SO_T4_PLA",29.1477497348383,122,"SO","T4","PLA"
"9","SO_T4_CopperPLA",30.4721109861551,110,"SO","T4","CopperPLA"
"10","SO_T4_CopperPipe",27.9118685961836,147,"SO","T4","CopperPipe"
"11","SO_T5_Lizard",34.2377628951998,182,"SO","T5","Lizard"
"12","SO_T5_ABS",37.5832568200914,62,"SO","T5","ABS"
"13","SO_T5_PLA",37.3446980644914,53,"SO","T5","PLA"
"14","SO_T5_CopperPLA",39.8337763424912,71,"SO","T5","CopperPLA"
"15","SO_T5_CopperPipe",37.289151039951,147,"SO","T5","CopperPipe"
"16","SO_T6_Lizard",21.8683626632493,134,"SO","T6","Lizard"
"17","SO_T6_ABS",20.7450410460945,85,"SO","T6","ABS"
"18","SO_T6_PLA",20.241630247677,154,"SO","T6","PLA"
"19","SO_T6_CopperPLA",21.0047810618721,71,"SO","T6","CopperPLA"
"20","SO_T6_CopperPipe",20.1597993199456,80,"SO","T6","CopperPipe"
"21","SO_T7_Lizard",19.787704668698,1,"SO","T7","Lizard"
"22","SO_T7_ABS",21.9996875026421,10,"SO","T7","ABS"
"23","SO_T7_PLA",21.5827271184318,12,"SO","T7","PLA"
"24","SO_T7_CopperPLA",21.3390791730132,20,"SO","T7","CopperPLA"
"25","SO_T7_CopperPipe",21.2870328826758,33,"SO","T7","CopperPipe"
"26","SO_T9_Lizard",20.1270598580972,1,"SO","T9","Lizard"
"27","SO_T9_ABS",18.8341689544695,35,"SO","T9","ABS"
"28","SO_T9_PLA",19.0048907568589,41,"SO","T9","PLA"
"29","SO_T9_CopperPLA",18.7781222010879,38,"SO","T9","CopperPLA"
"30","SO_T9_CopperPipe",19.4110955331379,57,"SO","T9","CopperPipe"
"31","SO_T10_Lizard",31.5934556027809,134,"SO","T10","Lizard"
"32","SO_T10_ABS",32.2638627107957,29,"SO","T10","ABS"
"33","SO_T10_PLA",31.677657032848,65,"SO","T10","PLA"
"34","SO_T10_CopperPLA",32.4865290148847,71,"SO","T10","CopperPLA"
"35","SO_T10_CopperPipe",29.6766106762309,57,"SO","T10","CopperPipe"
"36","SO_T11_Lizard",35.0898589557998,158,"SO","T11","Lizard"
