Species,Sex,Animal_ID,Mass,SVL,Trial,Microsite,LizardT,LizardVariance(SD),OTM_type,MeanT,Variance(SD),Length(min)
Sceloporus_occidentalis,M,1,24.3,85.65,1,rock_shade,17.65769,0.01847,ABS,18.87285,0.06376,2
Sceloporus_occidentalis,M,1,24.3,85.65,1,rock_shade,17.65769,0.01847,PLA,18.75231,0.07307,2
Sceloporus_occidentalis,M,1,24.3,85.65,1,rock_shade,17.65769,0.01847,CopperPLA,18.75638,0.07127,2
Sceloporus_occidentalis,M,1,24.3,85.65,1,rock_shade,17.65769,0.01847,CopperPipe,18.25462,0.00768,2
Sceloporus_occidentalis,F,3,23.7,86.7,4,rock_sun,32.80762,0.06189,ABS,32.60023077,0.411177,2
Sceloporus_occidentalis,F,3,23.7,86.7,4,rock_sun,32.80762,0.06189,PLA,29.46730769,0.390316834,2
Sceloporus_occidentalis,F,3,23.7,86.7,4,rock_sun,32.80762,0.06189,CopperPLA,30.49861538,0.627355101,2
Sceloporus_occidentalis,F,3,23.7,86.7,4,rock_sun,32.80762,0.06189,CopperPipe,28.10938462,0.171474264,2
Sceloporus_occidentalis,M,4,19.5,81.93,5,rock_sun,33.97154,0.229509846,ABS,40.19930769,0.374910075,2
Sceloporus_occidentalis,M,4,19.5,81.93,5,rock_sun,33.97154,0.229509846,PLA,40.54561538,0.209571204,2
Sceloporus_occidentalis,M,4,19.5,81.93,5,rock_sun,33.97154,0.229509846,CopperPLA,42.72138462,0.358122777,2
Sceloporus_occidentalis,M,4,19.5,81.93,5,rock_sun,33.97154,0.229509846,CopperPipe,39.20046154,0.092788842,2
Sceloporus_occidentalis,F,5,14.5,73.9,6,rock_shade,21.83183,0.05609,ABS,20.55191667,0.086230832,2
Sceloporus_occidentalis,F,5,14.5,73.9,6,rock_shade,21.83183,0.05609,PLA,20.58466667,0.099437456,2
Sceloporus_occidentalis,F,5,14.5,73.9,6,rock_shade,21.83183,0.05609,CopperPLA,20.77408333,0.052855391,2
Sceloporus_occidentalis,F,5,14.5,73.9,6,rock_shade,21.83183,0.05609,CopperPipe,19.79083333,0.00909776,2
Sceloporus_occidentalis,F,6,17.8,78.4,7,rock_shade,19.40092308,0.016434017,ABS,21.75730769,0.106390307,2
Sceloporus_occidentalis,F,6,17.8,78.4,7,rock_shade,19.40092308,0.016434017,PLA,21.30553846,0.135396095,2
Sceloporus_occidentalis,F,6,17.8,78.4,7,rock_shade,19.40092308,0.016434017,CopperPLA,21.01038462,0.079001623,2
Sceloporus_occidentalis,F,6,17.8,78.4,7,rock_shade,19.40092308,0.016434017,CopperPipe,20.94753846,0.007741828,2
Sceloporus_occidentalis,M,4,19.5,81.93,9,rock_shade,20.57954,0.0579,ABS,18.202,0.072093689,2
Sceloporus_occidentalis,M,4,19.5,81.93,9,rock_shade,20.57954,0.0579,PLA,18.42192308,0.064091681,2
Sceloporus_occidentalis,M,4,19.5,81.93,9,rock_shade,20.57954,0.0579,CopperPLA,18.26869231,0.050631651,2
Sceloporus_occidentalis,M,4,19.5,81.93,9,rock_shade,20.57954,0.0579,CopperPipe,19.16523077,0.0739799,2
Sceloporus_occidentalis,F,7,26.6,84.23,10,rock_sun,32.24162,0.06623,ABS,30.19323077,0.811368202,2
Sceloporus_occidentalis,F,7,26.6,84.23,10,rock_sun,32.24162,0.06623,PLA,31.24623077,0.780432268,2
Sceloporus_occidentalis,F,7,26.6,84.23,10,rock_sun,32.24162,0.06623,CopperPLA,32.23207692,1.080854404,2
Sceloporus_occidentalis,F,7,26.6,84.23,10,rock_sun,32.24162,0.06623,CopperPipe,31.21561538,0.534148784,2
Sceloporus_occidentalis,M,8,21.9,87.21,11,rock_sun,36.82192308,0.225425694,ABS,38.77930769,0.141064043,2
Sceloporus_occidentalis,M,8,21.9,87.21,11,rock_sun,36.82192308,0.225425694,PLA,35.87269231,0.265167049,2
Sceloporus_occidentalis,M,8,21.9,87.21,11,rock_sun,36.82192308,0.225425694,CopperPLA,36.78723077,0.157717656,2
Sceloporus_occidentalis,M,8,21.9,87.21,11,rock_sun,36.82192308,0.225425694,CopperPipe,33.19323077,0.147058466,2
Sceloporus_occidentalis,M,9,24.3,86.01,12,rock_sun,31.53546154,0.135298815,ABS,35.25807692,0.345334008,2
Sceloporus_occidentalis,M,9,24.3,86.01,12,rock_sun,31.53546154,0.135298815,PLA,33.85815385,0.301476878,2
Sceloporus_occidentalis,M,9,24.3,86.01,12,rock_sun,31.53546154,0.135298815,CopperPLA,35.32207692,0.393545733,2
Sceloporus_occidentalis,M,9,24.3,86.01,12,rock_sun,31.53546154,0.135298815,CopperPipe,35.74553846,0.39653302,2
Sceloporus_occidentalis,F,10,19.7,82,13,rock_sun,39.24123077,0.120294883,ABS,40.93630769,0.496225316,2
Sceloporus_occidentalis,F,10,19.7,82,13,rock_sun,39.24123077,0.120294883,PLA,34.14961538,0.375665973,2
Sceloporus_occidentalis,F,10,19.7,82,13,rock_sun,39.24123077,0.120294883,CopperPLA,36.10576923,0.50754756,2
Sceloporus_occidentalis,F,10,19.7,82,13,rock_sun,39.24123077,0.120294883,CopperPipe,36.49946154,0.097349555,2
Sceloporus_occidentalis,F,7,26.6,84.23,14,rock_shade,22.75476923,0.040193602,ABS,19.28853846,0.111260666,2
Sceloporus_occidentalis,F,7,26.6,84.23,14,rock_shade,22.75476923,0.040193602,PLA,19.18276923,0.067288129,2
Sceloporus_occidentalis,F,7,26.6,84.23,14,rock_shade,22.75476923,0.040193602,CopperPLA,18.74238462,0.102570739,2
Sceloporus_occidentalis,F,7,26.6,84.23,14,rock_shade,22.75476923,0.040193602,CopperPipe,19.08561538,0.059274135,2
Sceloporus_occidentalis,F,10,19.7,82,15,rock_shade,19.46161538,0.079743901,ABS,17.55761538,0.109585232,2
Sceloporus_occidentalis,F,10,19.7,82,15,rock_shade,19.46161538,0.079743901,PLA,17.51992308,0.130628265,2
Sceloporus_occidentalis,F,10,19.7,82,15,rock_shade,19.46161538,0.079743901,CopperPLA,17.52992308,0.097081977,2
Sceloporus_occidentalis,F,10,19.7,82,15,rock_shade,19.46161538,0.079743901,CopperPipe,19.72269231,0.042585961,2
Sceloporus_occidentalis,M,11,21.7,85.95,16,rock_sun,33.64346154,0.093247534,ABS,35.12269231,0.193054131,2
Sceloporus_occidentalis,M,11,21.7,85.95,16,rock_sun,33.64346154,0.093247534,PLA,33.84076923,0.154603878,2
Sceloporus_occidentalis,M,11,21.7,85.95,16,rock_sun,33.64346154,0.093247534,CopperPLA,31.36992308,0.350322342,2
Sceloporus_occidentalis,M,11,21.7,85.95,16,rock_sun,33.64346154,0.093247534,CopperPipe,35.89607692,0.034615655,2
Sceloporus_occidentalis,F,13,25.2,87.22,18,rock_shade,16.831,0.024579802,ABS,16.48753846,0.124102522,2
Sceloporus_occidentalis,F,13,25.2,87.22,18,rock_shade,16.831,0.024579802,PLA,16.77638462,0.182542935,2
Sceloporus_occidentalis,F,13,25.2,87.22,18,rock_shade,16.831,0.024579802,CopperPLA,18.937,0.123728197,2
Sceloporus_occidentalis,F,13,25.2,87.22,18,rock_shade,16.831,0.024579802,CopperPipe,19.57953846,0.05275038,2
Sceloporus_occidentalis,F,12,19.1,84.09,20,rock_shade,24.52146154,0.020365884,ABS,23.02653846,0.040200778,2
Sceloporus_occidentalis,F,12,19.1,84.09,20,rock_shade,24.52146154,0.020365884,PLA,23.29315385,0.051244262,2
Sceloporus_occidentalis,F,12,19.1,84.09,20,rock_shade,24.52146154,0.020365884,CopperPLA,22.93215385,0.054784192,2
Sceloporus_occidentalis,F,12,19.1,84.09,20,rock_shade,24.52146154,0.020365884,CopperPipe,22.90776923,0.053238698,2
Sceloporus_occidentalis,M,11,21.7,85.95,19,rock_shade,22.10423077,0.012370353,ABS,21.696,0.020996031,2
Sceloporus_occidentalis,M,11,21.7,85.95,19,rock_shade,22.10423077,0.012370353,PLA,21.53115385,0.02062703,2
Sceloporus_occidentalis,M,11,21.7,85.95,19,rock_shade,22.10423077,0.012370353,CopperPLA,21.452,0.049978329,2
Sceloporus_occidentalis,M,11,21.7,85.95,19,rock_shade,22.10423077,0.012370353,CopperPipe,21.92769231,0.012425676,2
Sceloporus_occidentalis,F,13,25.2,87.22,22,rock_sun,35.21515385,0.080983379,ABS,32.62753846,0.653206401,2
Sceloporus_occidentalis,F,13,25.2,87.22,22,rock_sun,35.21515385,0.080983379,PLA,33.24461538,0.800028597,2
Sceloporus_occidentalis,F,13,25.2,87.22,22,rock_sun,35.21515385,0.080983379,CopperPLA,31.63846154,0.697842821,2
Sceloporus_occidentalis,F,13,25.2,87.22,22,rock_sun,35.21515385,0.080983379,CopperPipe,33.04469231,0.076876941,2
Sceloporus_occidentalis,F,12,19.1,84.09,17,rock_sun,35.01930769,0.010827316,ABS,30.79876923,0.191963171,2
Sceloporus_occidentalis,F,12,19.1,84.09,17,rock_sun,35.01930769,0.010827316,PLA,30.07130769,0.163619673,2
Sceloporus_occidentalis,F,12,19.1,84.09,17,rock_sun,35.01930769,0.010827316,CopperPLA,29.34776923,0.290297019,2
Sceloporus_occidentalis,F,12,19.1,84.09,17,rock_sun,35.01930769,0.010827316,CopperPipe,37.51876923,0.069191948,2
Sceloporus_occidentalis,M,14,15.5,76.14,24,rock_sun,36.11838462,0.104905146,ABS,36.07315385,0.388367276,2
Sceloporus_occidentalis,M,14,15.5,76.14,24,rock_sun,36.11838462,0.104905146,PLA,34.60023077,0.341391553,2
Sceloporus_occidentalis,M,14,15.5,76.14,24,rock_sun,36.11838462,0.104905146,CopperPLA,31.36246154,0.613403159,2
Sceloporus_occidentalis,M,14,15.5,76.14,24,rock_sun,36.11838462,0.104905146,CopperPipe,31.58076923,0.120207566,2
Sceloporus_occidentalis,F,15,19.1,75.36,25,rock_sun,37.77638462,0.151594601,ABS,39.14038462,0.345315686,2
Sceloporus_occidentalis,F,15,19.1,75.36,25,rock_sun,37.77638462,0.151594601,PLA,35.57661538,0.522093628,2
Sceloporus_occidentalis,F,15,19.1,75.36,25,rock_sun,37.77638462,0.151594601,CopperPLA,34.32438462,0.316936255,2
Sceloporus_occidentalis,F,15,19.1,75.36,25,rock_sun,37.77638462,0.151594601,CopperPipe,33.41230769,0.031820812,2
Sceloporus_occidentalis,M,16,18,79.8,26,rock_shade,9.609769231,0.06354415,ABS,8.741538462,0.047703276,2
Sceloporus_occidentalis,M,16,18,79.8,26,rock_shade,9.609769231,0.06354415,PLA,9.907923077,0.052488827,2
Sceloporus_occidentalis,M,16,18,79.8,26,rock_shade,9.609769231,0.06354415,CopperPLA,8.527153846,0.081110877,2
Sceloporus_occidentalis,M,16,18,79.8,26,rock_shade,9.609769231,0.06354415,CopperPipe,7.289153846,0.051757199,2
Sceloporus_occidentalis,M,16,18,79.8,27,rock_sun,38.84130769,0.185280591,ABS,37.40369231,0.337786517,2
Sceloporus_occidentalis,M,16,18,79.8,27,rock_sun,38.84130769,0.185280591,PLA,39.06069231,0.333440246,2
Sceloporus_occidentalis,M,16,18,79.8,27,rock_sun,38.84130769,0.185280591,CopperPLA,37.82823077,1.161173627,2
Sceloporus_occidentalis,M,16,18,79.8,27,rock_sun,38.84130769,0.185280591,CopperPipe,36.832,0.176714459,2
Podarcis_muralis,M,PM126,6.76,NA,1,shade tree,21.06923077,0.118213193,CopperPLA,20.99230769,0.08623165,
Podarcis_muralis,M,PM126,6.76,NA,1,shade tree,21.06923077,0.118213193,PLA,20.36923077,0.063042517,
Podarcis_muralis,M,PM126,6.76,NA,1,shade tree,21.06923077,0.118213193,ABS,20.33846154,0.076794765,
Podarcis_muralis,M,PM118,6.92,NA,2,shade tree,23.43076923,0.063042517,CopperPLA,23.06923077,0.048038446,
Podarcis_muralis,M,PM118,6.92,NA,2,shade tree,23.43076923,0.063042517,PLA,22.02307692,0.059914469,
Podarcis_muralis,M,PM118,6.92,NA,2,shade tree,23.43076923,0.063042517,ABS,22.30769231,0.103774904,
Podarcis_muralis,M,PM134,9.14,NA,3,sun overcast,27.03076923,0.103155347,CopperPLA,27.76153846,0.132529629,
Podarcis_muralis,M,PM134,9.14,NA,3,sun overcast,27.03076923,0.103155347,PLA,26.21538462,0.098709623,
Podarcis_muralis,M,PM134,9.14,NA,3,sun overcast,27.03076923,0.103155347,ABS,27.65384615,0.14500221,
Podarcis_muralis,M,PM93,8.57,NA,4,sun,29.64615385,0.096741792,CopperPLA,32.71538462,0.195133091,
Podarcis_muralis,M,PM93,8.57,NA,4,sun,29.64615385,0.096741792,PLA,28.54615385,0.189804218,
Podarcis_muralis,M,PM93,8.57,NA,4,sun,29.64615385,0.096741792,ABS,27.50769231,0.189127552,
Podarcis_muralis,M,PM94,6.3,NA,5,sun,35.88461538,0.080064077,CopperPLA,33.69230769,0.175411604,
Podarcis_muralis,M,PM94,6.3,NA,5,sun,35.88461538,0.080064077,PLA,31.6,0.285773803,
Podarcis_muralis,M,PM94,6.3,NA,5,sun,35.88461538,0.080064077,ABS,33.46923077,0.295478751,
Podarcis_muralis,M,PM175,4.85,NA,6,sun,37.67692308,0.204751256,CopperPLA,39.06153846,0.119292788,
